Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,United States,Japan
174,115,116,55,1783,17,68,138,826,1110,96,584,7,35,28,4,155,6,138,113,761,249,379,21,144,76,129,961,2,32,3569,1430
168,109,112,52,1693,16,66,158,823,1092,85,699,6,34,29,4,162,6,148,87,742,243,375,21,146,82,136,922,1,35,3639,1550
165,107,118,45,1622,16,66,139,849,1102,86,713,6,32,30,4,164,6,149,93,709,241,373,22,135,82,139,882,2,33,3598,1600
162,104,103,47,1761,16,69,142,891,1097,88,772,7,31,32,4,172,6,150,94,705,238,378,21,129,78,129,844,2,31,3722,1490
170,110,107,47,1803,14,71,181,943,1080,88,801,7,34,33,4,179,6,135,86,702,246,383,23,131,80,121,863,2,31,4201,1400
179,122,117,49,1797,13,75,152,994,1118,91,845,9,41,34,4,176,6,158,90,712,250,400,27,134,86,149,905,4,32,4796,1560
178,123,114,51,1777,13,79,155,1034,1081,90,857,10,44,34,5,172,6,156,105,688,245,398,27,134,79,144,927,2,35,4661,1640
169,117,98,48,1819,14,82,188,1064,1058,86,775,8,43,36,4,165,6,159,102,657,248,400,24,134,98,159,925,1,35,4651,1550
160,113,111,46,1706,16,85,143,1137,1036,80,849,6,39,38,5,166,6,147,77,628,242,352,20,135,85,159,895,3,38,4119,1580
151,108,100,42,1563,15,89,129,1191,1007,74,745,5,38,40,5,168,6,144,81,592,239,363,19,134,127,147,937,5,41,4459,1630
159,103,96,45,1682,17,99,145,1244,966,69,804,6,38,41,5,165,6,137,78,552,237,356,19,129,93,194,997,2,43,4817,1600
191,102,103,44,1611,19,107,131,1282,955,68,721,7,41,44,5,166,7,124,75,523,237,345,22,120,64,146,1078,3,41,5122,1530
195,98,95,47,1440,25,113,135,1364,1018,67,617,6,45,47,5,171,7,122,106,511,244,329,23,111,65,127,1100,2,40,4872,1610
184,94,93,47,1380,26,112,153,1428,1028,68,800,7,51,48,5,172,6,138,71,507,248,328,22,113,80,138,1102,3,41,5154,1580
162,91,95,52,1356,28,116,132,1548,1083,70,906,6,60,53,6,175,6,140,74,507,250,360,22,110,83,137,1124,3,40,5344,1560
152,91,104,58,1485,29,124,153,1684,1145,71,889,6,68,62,6,183,6,141,90,539,253,342,22,112,76,152,1142,6,41,5725,1560
162,103,106,74,1698,37,134,190,1867,1187,74,836,7,76,76,6,195,6,132,101,581,265,375,23,119,83,166,1178,6,43,6679,1660
188,117,143,85,1735,41,152,199,2067,1297,80,976,8,87,97,7,213,6,161,107,670,276,396,28,131,99,189,1254,6,46,7962,1660
202,125,152,93,1875,47,167,210,2226,1338,83,961,9,99,113,7,225,7,177,114,716,290,434,31,142,110,204,1342,11,50,8517,1790
209,128,151,101,1839,50,181,196,2330,1357,85,1036,10,109,125,6,229,7,181,115,734,297,406,31,152,133,217,1372,9,51,8643,1960
204,123,163,100,1802,53,193,202,2338,1370,83,959,11,114,128,6,229,8,180,136,702,299,379,31,153,130,227,1407,10,54,8107,2080
193,117,168,101,1774,57,202,190,2300,1355,80,844,11,116,129,6,224,8,178,120,682,305,375,31,154,172,240,1449,13,56,8399,2100
191,117,165,94,1738,59,209,173,2250,1269,76,920,11,117,129,5,226,8,177,118,678,308,376,33,161,148,267,1512,9,53,8647,2140
202,124,185,95,1748,62,207,195,2242,1215,78,936,12,120,131,5,230,8,179,136,702,310,399,36,170,107,226,1552,4,53,8515,2250
204,129,200,107,1770,60,205,216,2297,1289,78,781,11,120,132,5,239,7,181,132,709,316,392,36,175,110,216,1537,8,48,8363,2180
206,134,190,110,1721,61,201,180,2333,1332,83,1073,13,120,132,5,240,7,198,124,719,321,410,36,191,103,217,1519,7,49,8334,2150
211,143,180,118,1644,66,199,213,2368,1464,89,1069,12,121,138,6,243,7,197,106,715,331,398,36,195,117,215,1457,6,50,8462,2080
214,156,200,112,1628,69,202,264,2388,1528,94,1070,14,124,146,6,239,7,205,143,750,328,410,35,201,125,219,1419,8,48,8505,2040
224,170,208,119,1695,75,205,206,2455,1509,99,1081,15,132,157,6,249,7,200,134,812,333,405,36,208,116,230,1429,9,50,8985,1930
223,187,217,130,1872,81,207,261,2508,1522,108,1177,16,139,172,6,267,8,232,122,970,331,444,41,219,148,249,1509,9,51,10021,1990
223,199,231,145,1897,86,205,289,2568,1505,113,1210,16,142,173,6,283,8,234,142,1004,337,434,42,223,136,241,1555,9,63,9923,2050
220,203,217,149,1830,88,206,250,2602,1453,115,1124,16,141,170,5,283,8,236,120,988,329,457,42,222,144,251,1517,8,67,9696,2210
218,202,191,146,1699,84,209,276,2595,1406,112,1192,14,133,171,5,272,7,218,133,913,330,378,42,214,145,249,1448,8,68,8699,2170
213,194,187,138,1559,76,213,288,2552,1368,109,1066,13,123,165,5,267,7,214,118,870,330,382,42,209,171,239,1431,12,68,8252,2130
212,187,180,130,1551,70,218,259,2490,1282,108,1031,14,115,160,4,259,7,207,95,838,328,371,41,209,123,264,1444,7,63,8521,2130
229,182,188,123,1592,60,216,283,2446,1237,109,958,14,111,159,5,255,7,204,113,827,325,384,40,208,107,222,1449,5,59,8323,2070
225,184,184,117,1485,55,216,290,2493,1307,111,916,13,110,152,5,249,7,204,109,817,328,391,40,205,110,197,1435,5,54,8093,2030
220,194,167,119,1484,51,212,279,2517,1300,116,1006,12,107,146,5,252,8,205,111,825,330,372,39,212,102,213,1440,7,55,7886,2120
212,210,173,117,1458,51,212,313,2548,1339,124,1121,11,103,145,5,247,8,201,91,817,326,381,44,207,105,198,1434,7,56,7705,2070
204,224,174,116,1409,49,214,343,2551,1373,130,1117,12,100,143,5,248,8,206,99,830,342,413,44,204,111,197,1394,7,55,8111,1990
204,231,182,116,1493,52,219,349,2559,1369,136,1109,12,99,150,5,261,8,195,99,871,341,387,46,206,111,197,1410,9,53,8278,1900
202,239,187,126,1611,55,215,361,2609,1410,145,1101,15,99,151,5,274,7,222,108,932,341,427,48,207,123,223,1425,9,51,8796,1970
195,235,192,131,1499,54,213,390,2648,1387,148,1150,17,102,152,5,275,7,226,131,947,340,396,47,208,119,212,1435,9,50,8563,1870
186,229,180,129,1500,53,212,396,2678,1346,147,1134,17,106,151,5,267,7,224,107,936,345,407,46,206,139,209,1406,9,53,8304,1990
175,226,176,122,1370,48,213,377,2656,1331,140,1013,17,108,147,5,256,7,217,119,892,339,384,44,204,134,211,1398,12,53,7592,2040
170,215,169,117,1312,48,217,421,2615,1302,135,1055,17,105,138,5,245,7,212,109,851,335,376,43,201,147,220,1426,10,54,7515,1920
171,206,169,116,1350,47,223,375,2603,1249,131,933,17,98,131,5,246,7,198,89,809,319,362,43,198,126,249,1466,5,48,7910,1890
196,199,170,113,1307,42,222,407,2632,1207,133,925,17,90,130,5,244,7,202,97,795,323,393,45,194,104,204,1544,6,47,7664,1930
202,198,164,112,1323,37,226,458,2693,1270,133,842,16,86,124,5,243,6,200,85,787,340,394,44,192,91,183,1572,6,45,7422,1760
200,201,158,112,1196,37,213,416,2764,1285,133,1087,18,85,118,5,245,6,214,91,799,359,398,43,200,106,184,1556,5,50,7189,1710
191,213,166,114,1108,42,214,483,2838,1393,138,1170,20,88,113,6,242,7,221,96,809,366,391,45,204,106,195,1529,7,53,7151,1800
186,228,159,112,1185,43,215,517,2859,1464,142,1207,23,89,110,6,243,7,233,104,839,387,423,45,208,98,189,1487,5,49,6923,1750
186,240,161,116,1267,42,218,509,2876,1487,150,1354,24,88,114,6,256,7,221,100,879,398,415,45,210,114,198,1478,6,52,7181,1770
193,251,186,122,1428,42,219,534,2972,1558,160,1401,27,86,117,7,274,6,254,85,949,399,431,47,210,116,224,1495,6,54,7525,1790
193,254,191,126,1373,44,218,567,3069,1540,166,1389,28,88,119,7,281,7,257,119,973,407,394,46,208,119,220,1503,7,56,7573,1770
188,251,180,123,1330,43,218,557,3116,1498,165,1531,29,91,122,6,271,7,257,97,955,421,419,43,205,127,220,1472,8,54,7324,1900
185,250,181,117,1174,40,219,574,3140,1467,159,1502,28,94,118,6,270,7,260,111,908,427,396,42,204,137,210,1409,8,53,6555,1910
182,241,168,119,1254,40,222,564,3138,1442,152,1406,28,90,112,6,266,7,249,124,875,419,384,41,199,153,236,1406,8,57,6697,1740
180,237,162,113,1182,38,229,603,3095,1369,146,1392,27,83,110,6,262,7,243,112,857,417,370,42,198,113,253,1461,5,53,7030,1730
194,237,184,113,1280,37,226,587,3105,1335,148,1270,29,74,108,6,251,6,251,117,860,426,371,46,195,98,220,1462,6,49,6863,1760
204,231,176,112,1203,34,223,608,3136,1408,149,1159,28,71,106,6,251,6,246,119,864,449,362,47,194,104,208,1441,5,46,6580,1680
216,226,163,113,1138,33,210,610,3169,1446,154,1456,29,72,104,6,249,6,266,120,872,447,367,46,199,102,196,1426,4,49,6221,1680
233,231,182,108,1115,33,205,612,3213,1559,164,1599,28,79,102,6,251,6,269,109,865,462,354,50,206,98,206,1386,5,51,6217,1620
241,238,187,102,1163,35,199,673,3219,1634,171,1546,31,82,105,6,251,6,285,123,889,462,352,48,212,116,213,1360,4,52,6168,1590
243,245,177,108,1190,39,197,653,3204,1648,179,1579,32,81,105,7,265,6,287,116,928,477,373,52,214,102,208,1382,6,50,6504,1610
241,264,191,113,1328,40,192,678,3325,1727,190,1759,38,76,108,8,278,7,328,134,1013,476,399,57,216,130,231,1432,6,55,7426,1720
233,270,205,117,1444,38,189,686,3382,1699,193,1752,38,75,107,8,282,7,337,138,1036,483,404,58,214,132,234,1437,4,59,7020,1710
228,269,190,108,1355,33,188,677,3368,1660,190,1688,36,70,108,8,257,7,344,137,1025,471,427,58,211,130,237,1399,7,64,6611,1810
225,266,185,100,1239,29,190,676,3270,1625,183,1669,37,64,103,7,246,7,342,128,986,460,427,57,208,143,243,1379,7,63,6171,1750
219,250,178,95,1179,28,195,671,3187,1585,171,1709,36,58,95,7,236,8,340,119,937,445,389,55,205,174,228,1404,8,62,6316,1630
217,239,152,99,1242,27,197,655,3126,1514,163,1633,37,56,95,7,239,7,342,108,899,439,436,51,208,115,259,1431,7,58,6560,1590
235,233,180,106,1220,27,192,668,3145,1466,161,1512,37,60,87,8,231,7,347,130,879,431,368,48,204,99,212,1451,4,58,6396,1630
237,227,172,108,1167,28,185,648,3171,1505,158,1490,37,62,87,8,229,7,341,125,863,416,384,45,202,99,199,1413,5,54,6148,1670
238,230,165,98,1173,29,172,657,3166,1522,162,1674,38,61,85,8,229,7,356,112,862,400,376,44,211,113,183,1358,5,52,6009,1610
235,243,156,92,1168,31,163,658,3164,1547,170,1727,37,59,83,8,215,7,356,116,847,405,397,47,213,103,199,1294,5,51,5858,1600
234,251,170,88,1131,32,159,680,3119,1606,175,1792,40,59,91,9,210,7,362,119,868,401,383,47,215,113,211,1278,4,54,5671,1510
239,254,172,100,1128,32,161,675,3044,1625,179,1689,40,62,99,10,202,7,352,118,905,403,410,51,217,112,203,1254,4,57,5583,1370
248,254,163,106,1280,33,165,677,3116,1719,187,1900,39,66,103,9,196,7,379,138,983,403,415,55,219,128,238,1245,8,54,6152,1460
248,246,176,107,1337,32,167,697,3122,1713,190,1959,39,70,104,9,192,8,387,138,998,403,415,56,216,138,236,1229,4,55,6267,1410
247,242,176,98,1315,32,166,659,3112,1664,186,1814,41,70,101,9,188,8,371,138,960,401,425,52,209,133,238,1177,6,55,5868,1500
246,234,154,96,1269,31,164,660,3033,1595,176,1824,38,66,99,8,189,8,361,135,890,386,398,48,200,142,227,1104,6,56,5018,1510
240,224,142,89,1177,27,165,649,2933,1556,163,1700,37,60,98,8,192,8,347,115,829,363,376,46,193,168,229,1104,7,54,5104,1390
233,214,148,90,1092,26,166,595,2830,1479,153,1491,37,57,94,8,190,7,332,148,777,355,386,45,190,130,271,1124,5,53,5309,1440
242,214,141,96,1084,26,161,609,2796,1443,151,1617,39,56,81,8,179,8,329,139,740,342,357,46,188,106,207,1122,3,51,5220,1460
239,210,148,100,1158,29,157,629,2791,1513,150,1459,38,55,78,8,172,8,311,121,717,330,374,46,185,105,208,1106,4,52,4991,1420
238,210,136,103,1162,26,146,588,2793,1546,153,1732,37,54,73,8,164,8,322,142,711,327,347,46,184,118,200,1090,4,53,4597,1400
238,208,134,95,1132,22,141,613,2846,1636,163,1817,35,53,75,8,169,8,322,135,704,345,370,48,181,133,202,1041,5,57,4379,1430
238,204,151,94,1179,21,138,621,2823,1719,169,1940,40,52,82,8,171,8,332,128,722,350,380,48,179,118,204,991,3,59,4627,1360
240,198,148,95,1071,24,139,623,2802,1717,176,1636,39,51,90,9,177,7,317,139,751,352,366,50,179,128,202,980,5,60,4748,1280
247,199,159,98,1225,27,142,608,2832,1762,186,1782,40,50,84,9,188,7,347,136,813,359,422,50,182,133,227,989,4,66,5374,1430
250,198,158,102,1281,26,141,631,2808,1736,189,1841,40,54,81,9,186,7,341,141,824,347,431,48,177,142,233,997,4,70,5216,1380
255,204,150,105,1180,25,138,632,2767,1699,182,1831,38,58,77,9,184,7,333,151,794,349,424,47,168,156,222,972,4,72,4954,1420
257,204,131,98,1170,24,136,582,2670,1665,167,1716,34,57,78,8,173,7,323,152,740,327,416,46,156,155,230,959,5,70,4362,1350
249,196,120,91,1116,23,137,583,2581,1654,154,1764,31,57,78,8,164,7,317,140,695,319,397,46,148,168,224,983,5,71,4547,1320
237,184,117,85,1119,20,138,556,2514,1573,143,1673,31,57,80,8,158,7,305,141,659,306,397,44,148,154,237,998,4,74,4560,1340
231,171,128,90,1125,18,135,555,2467,1526,141,1504,32,56,69,9,155,7,298,136,646,307,366,41,150,123,188,1012,3,72,4394,1330
224,159,118,89,1081,17,134,565,2465,1604,139,1327,30,55,65,9,152,6,291,138,641,305,387,40,149,119,184,990,3,74,4098,1350
228,147,103,87,1005,17,129,541,2445,1585,141,1586,29,55,64,9,152,7,307,151,650,314,378,38,152,114,184,954,3,69,3984,1380
243,141,116,83,1001,21,127,558,2443,1653,150,1660,26,55,65,9,152,7,311,130,648,316,366,41,148,124,178,895,5,71,3994,1300
249,141,103,87,1048,22,127,574,2371,1695,154,1667,30,55,67,9,146,7,294,150,652,321,379,41,143,125,174,873,4,70,4115,1270
251,146,105,94,1126,25,127,561,2349,1692,154,1686,29,55,74,10,148,6,287,141,655,321,376,44,143,129,193,878,2,77,4281,1290
243,158,121,95,1049,25,124,577,2373,1754,158,1672,29,55,71,10,148,7,306,161,671,323,393,46,143,135,210,914,3,87,4569,1300
233,164,111,95,1164,25,122,558,2389,1738,154,1721,30,54,69,10,147,7,307,172,664,326,379,45,142,140,221,915,4,87,4637,1340
